"question","answer","status","citations"
"based on identified risks to support scheduled and emergency responses to vulnerability identification?","The organization has a comprehensive vulnerability management process in place, which includes weekly infrastructure and application vulnerability scans, annual independent penetration testing, and a defined SLA for remediation. The SLA for remediation includes patching critical vulnerabilities within 24 hours, high vulnerabilities within 7 days, medium vulnerabilities within 30 days, and evaluating and scheduling low vulnerabilities for upcoming sprints. Additionally, the organization has an incident response plan that classifies incidents into four severity levels (SEV-1 to SEV-4) and has a dedicated Computer Security Incident Response Team (CSIRT) with a guaranteed 15-minute response time for SEV-1 events. The organization also operates a 24/7 Security Operations Center (SOC) with advanced detection capabilities, including SIEM, EDR, CNAPP, NDR, WAF, and DLP. The response phases include identification, containment, eradication, and recovery, which support both scheduled and emergency responses to vulnerability identification.","approved","Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"" | 04_Incident_Response_Plan.pdf (p.2): ""1.Incident Classification
Severity Definition Response Time Notification
SEV-1 (Critical) Active data breach, complete service outage, ransomware, or compromise of authentication system	15 minutes CIS"""
"based on identified risks to support scheduled and emergency responses to","The incident response plan supports scheduled and emergency responses to identified risks through a structured approach, including incident classification, incident response team, detection and monitoring, and response phases. The plan ensures 24/7/365 coverage with a guaranteed 15-minute response time for SEV-1 events and outlines procedures for containment, eradication, recovery, and lessons learned.","approved","04_Incident_Response_Plan.pdf (p.2): ""1.Incident Classification
Severity Definition Response Time Notification
SEV-1 (Critical) Active data breach, complete service outage, ransomware, or compromise of authentication system	15 minutes CIS"" | Incident_Response_Plan.md: ""## 2. Incident Response Phases
1.  **Preparation:** Maintaining tooling (SIEM, EDR), staff training, and this living document.
2.  **Identification:** Triaging alerts from monitoring tools. Any employ"""
"vulnerability identification.","Vulnerability identification is conducted through weekly infrastructure and application vulnerability scans using automated tooling, as well as annual independent penetration tests by a certified third-party security firm.","approved","Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"" | 04_Incident_Response_Plan.pdf (p.2): ""4.4 Recovery – Restore services from verified backups, validate system integrity, gradually re-enable
access with enhanced monitoring.4.5 Lessons Learned – Post-incident review (PIR) held within 5 bus"""
"TVM-10.1","The provided context does not contain enough information to answer question TVM-10.1. The context appears to be related to application security and vulnerability management, but it does not provide specific details about TVM-10.1.","approved","Application_Security_and_Vulnerability_Management.md: ""# ApexCloud Solutions: AppSec & TVM Policy
**Document Version:** 2.2
**Last Updated:** March 01, 2026
**Confidentiality Level:** Internal / Under NDA"" | 06_Infrastructure_Operations_Security.pdf (p.3): ""Activity Tool Frequency SLA (Remediation)
Infrastructure scanning Wiz, AWS Inspector Continuous Critical: 24h, High: 7d, Med: 30d
Application DAST Burp Suite Enterprise Weekly Critical: 48h, High: 14d"""
"an industry-recognized framework to guide threat decision-making and protection measures?","NimbusGuard Technologies, Inc. utilizes a combination of industry-recognized frameworks and tools to guide threat decision-making and protection measures, including Splunk Enterprise Security, CrowdStrike Falcon, Wiz for cloud workload protection, Darktrace for network traffic analysis, AWS WAF, and Nightfall AI for data loss prevention.","approved","04_Incident_Response_Plan.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Security Incident Response Plan
Detection, Triage, Containment, Recovery & Lessons Learned
Document ID: NG-IRP-004 Version: 5.0
Effective Date: January 25, 2026 Owner: V"" | 01_Information_Security_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Information Security Policy
Enterprise Governance, Risk & Compliance Framework
Document ID: NG-ISP-001 Version: 4.2
Effective Date: January 15, 2026 Owner: CISO – Dr. El"""
"leveraging an industry-recognized framework to guide threat decision-making","The provided context does not explicitly mention leveraging an industry-recognized framework to guide threat decision-making. However, it outlines a structured incident response plan with defined phases (Preparation, Identification, Containment, Eradication, Recovery, Lessons Learned) and severity definitions with corresponding response times, which implies a systematic approach to threat management.","approved","Incident_Response_Plan.md: ""## 2. Incident Response Phases
1.  **Preparation:** Maintaining tooling (SIEM, EDR), staff training, and this living document.
2.  **Identification:** Triaging alerts from monitoring tools. Any employ"" | 04_Incident_Response_Plan.pdf (p.2): ""1.Incident Classification
Severity Definition Response Time Notification
SEV-1 (Critical) Active data breach, complete service outage, ransomware, or compromise of authentication system	15 minutes CIS"""
"and protection measures.","The provided context does not contain enough information to provide a detailed answer about specific protection measures. However, it mentions data classification, encryption, retention, and privacy controls in the Data Protection and Privacy Policy, as well as security training and background checks in the Human Resources Security section of the Information Security Policy.","approved","02_Data_Protection_Privacy_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Data Protection and Privacy Policy
Data Classification, Encryption, Retention & Privacy Controls
Document ID: NG-DPP-002 Version: 3.8
Effective Date: February 1, 2026 Ow"" | 04_Incident_Response_Plan.pdf (p.2): ""4.4 Recovery – Restore services from verified backups, validate system integrity, gradually re-enable
access with enhanced monitoring.4.5 Lessons Learned – Post-incident review (PIR) held within 5 bus"" | Information_Security_Policy.md: ""## 4. Human Resources Security
* **Background Checks:** All employees and contractors must undergo standard criminal background checks prior to employment.
* **Security Training:** All personnel must """
"TVM-11.1","The provided context does not contain enough information to answer the question TVM-11.1.","approved","Application_Security_and_Vulnerability_Management.md: ""# ApexCloud Solutions: AppSec & TVM Policy
**Document Version:** 2.2
**Last Updated:** March 01, 2026
**Confidentiality Level:** Internal / Under NDA"" | 04_Incident_Response_Plan.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Security Incident Response Plan
Detection, Triage, Containment, Recovery & Lessons Learned
Document ID: NG-IRP-004 Version: 5.0
Effective Date: January 25, 2026 Owner: V"""
"and remediation activities that include stakeholder notification?","The incident response plan includes a phase for 'Lessons Learned' which involves conducting a post-mortem within a specified timeframe (5 business days as per 04_Incident_Response_Plan.pdf and within 14 days as per Incident_Response_Plan.md) to improve future response. Additionally, 'Breach Notification' is mentioned as part of the plan, indicating that stakeholder notification is included in the remediation activities.","approved","04_Incident_Response_Plan.pdf (p.2): ""4.4 Recovery – Restore services from verified backups, validate system integrity, gradually re-enable
access with enhanced monitoring.4.5 Lessons Learned – Post-incident review (PIR) held within 5 bus"" | Incident_Response_Plan.md: ""## 2. Incident Response Phases
1.  **Preparation:** Maintaining tooling (SIEM, EDR), staff training, and this living document.
2.  **Identification:** Triaging alerts from monitoring tools. Any employ"""
"identification and remediation activities that includes stakeholder notification.","The identification and remediation activities include containment, eradication, recovery, and lessons learned phases. Containment involves isolating affected systems, eradication involves removing malware and closing vulnerabilities, recovery involves restoring systems from clean backups, and lessons learned involves conducting a post-mortem. Stakeholder notification is implied in the breach notification section, but specific details on stakeholder notification during these activities are not provided in the given context.","approved","04_Incident_Response_Plan.pdf (p.2): ""4.4 Recovery – Restore services from verified backups, validate system integrity, gradually re-enable
access with enhanced monitoring.4.5 Lessons Learned – Post-incident review (PIR) held within 5 bus"" | Incident_Response_Plan.md: ""## 2. Incident Response Phases
1.  **Preparation:** Maintaining tooling (SIEM, EDR), staff training, and this living document.
2.  **Identification:** Triaging alerts from monitoring tools. Any employ"""
